0001;1.00;5000.00
0005;1.00;5000.00
0011;1.00;5000.00
0012;1.00;5000.00
0016;1.00;5000.00
0019;1.00;5000.00
0025;1.00;5000.00
0027;1.00;5000.00
0028;1.00;5000.00
0032;1.00;5000.00
0037;1.00;5000.00
0045;1.00;5000.00
0056;1.00;5000.00
0064;1.00;5000.00
0066;1.00;5000.00
0072;1.00;5000.00
0083;1.00;5000.00
0088;1.00;5000.00
0095;1.00;5000.00
0101;1.00;5000.00
0108;1.00;5000.00
0113;1.00;5000.00
0131;1.00;5000.00
0143;1.00;5000.00
0148;1.00;5000.00
0156;1.00;5000.00
0163;1.00;5000.00
0164;1.00;5000.00
0171;1.00;5000.00
0195;1.00;5000.00
0205;1.00;5000.00
0216;1.00;5000.00
0231;1.00;5000.00
0248;1.00;5000.00
0253;1.00;5000.00
0254;1.00;5000.00
0271;1.00;5000.00
0277;1.00;5000.00
0292;1.00;5000.00
0293;1.00;5000.00
0314;1.00;5000.00
0425;1.00;5000.00
0427;1.00;5000.00
0447;1.00;5000.00
0472;1.00;5000.00
0524;1.00;5000.00
0533;1.00;5000.00
0584;1.00;5000.00
0603;1.00;5000.00
0612;1.00;5000.00
0639;1.00;5000.00
0697;1.00;5000.00
0762;1.00;5000.00
0774;1.00;5000.00
0800;1.00;5000.00
0802;1.00;5000.00
0805;1.00;5000.00
0813;1.00;5000.00
0816;1.00;5000.00
0826;1.00;5000.00
0853;1.00;5000.00
1706;1.00;5000.00
